sObjectName
CollaborationGroup
CollaborationGroupFeed
CollaborationGroupMember
CollaborationGroupMemberRequest
CollaborationGroupRecord
CollaborationInvitation
Community
ConferenceNumber
ConnectedApplication
Contact
ContactFeed
ContactHistory
ContactShare
ContentAsset
ContentDistribution
ContentDistributionView
ContentDocument
ContentDocumentFeed
ContentDocumentHistory
ContentDocumentLink
ContentDocumentSubscription
ContentFolder
ContentFolderItem
ContentFolderLink
ContentFolderMember
ContentNotification
ContentTagSubscription
ContentUserSubscription
ContentVersion
ContentVersionComment
ContentVersionHistory
ContentVersionRating
ContentWorkspace
ContentWorkspaceDoc
ContentWorkspaceMember
ContentWorkspacePermission
ContentWorkspaceSubscription
Contract
ContractContactRole
ContractFeed
ContractHistory
ContractLineItem
ContractLineItemHistory
ContractStatus
CorsWhitelistEntry
CronJobDetail
CronTrigger
CspTrustedSite
CustomBrand
CustomBrandAsset
CustomObjectUserLicenseMetrics
CustomPermission
CustomPermissionDependency
Dashboard
DashboardComponent
DashboardComponentFeed
DashboardFeed
DataAssessmentFieldMetric
DataAssessmentMetric
DataAssessmentValueMetric
DataIntegrationRecordPurchasePermission
DataStatistics
DataType
DatacloudAddress
DeclinedEventRelation
Document
DocumentAttachmentMap
Domain
DomainSite
DuplicateRecordItem
DuplicateRecordSet
DuplicateRule
EmailCapture
EmailDomainKey
EmailMessage
EmailMessageRelation
EmailServicesAddress
EmailServicesFunction
EmailTemplate
EmbeddedServiceDetail
Entitlement
EntitlementContact
EntitlementFeed
EntitlementHistory
EntitlementTemplate
EntityDefinition
EntityMilestone
EntityMilestoneFeed
EntityMilestoneHistory
EntityParticle
EntitySubscription
EnvironmentHub
EnvironmentHubInvitation
EnvironmentHubMember
EnvironmentHubMemberRel
Event
EventBusSubscriber
EventFeed
EventLogFile
EventRelation
ExternalDataSource
ExternalDataUserAuth
ExternalEvent
ExternalEventMapping
ExternalEventMappingShare
ExternalSocialAccount
FeedAttachment
FeedComment
FeedItem
FeedPollChoice
FeedPollVote
FeedRevision
FieldDefinition
FieldPermissions
FileSearchActivity
FiscalYearSettings
FlexQueueItem
FlowInterview
FlowInterviewShare
FlowRecordRelation
FlowStageRelation
Folder
GrantedByLicense
Group
GroupMember
Holiday
Idea
IdeaComment
IdpEventLog
Individual
IndividualHistory
IndividualShare
InstalledMobileApp
KPIapp__Error_Log__Share
KPIapp__Error_Log__c
KPIapp__Imported_Email_Template__Share
KPIapp__Imported_Email_Template__c
KPIapp__Imported_Social_Post__Share
KPIapp__Imported_Social_Post__c
KPIapp__Partner_Settings__Share
KPIapp__Partner_Settings__c
KPIapp__Setup_Data__Share
KPIapp__Setup_Data__c
KnowledgeableUser
LeadFeed
LeadHistory
LeadShare
LeadStatus
LightningExperienceTheme
LightningToggleMetrics
LightningUsageByAppTypeMetrics
LightningUsageByBrowserMetrics
LightningUsageByPageMetrics
ListEmail
ListEmailRecipientSource
ListEmailShare
ListView
ListViewChart
ListViewChartInstance
Location
LocationFeed
LocationHistory
LocationShare
LoginGeo
LoginHistory
LoginIp
Macro
MacroHistory
MacroInstruction
MacroShare
MailmergeTemplate
MatchingInformation
MatchingRule
MatchingRuleItem
MilestoneType
MobileApplicationDetail
NamedCredential
NamespaceRegistry
NamespaceRegistryFeed
NamespaceRegistryHistory
Note
OauthToken
ObjectPermissions
OpportunityCompetitor
OpportunityContactRole
OpportunityFeed
OpportunityFieldHistory
OpportunityHistory
OpportunityLineItem
OpportunityPartner
OpportunityShare
OpportunityStage
Opportunity__hd
Order
OrderFeed
OrderHistory
OrderItem
OrderItemFeed
OrderItemHistory
OrderShare
OrgWideEmailAddress
Organization
OutgoingEmail
OutgoingEmailRelation
OwnerChangeOptionInfo
PackageLicense
Partner
PartnerRole
Period
PermissionSet
PermissionSetAssignment
PermissionSetGroup
PermissionSetGroupComponent
PermissionSetLicense
PermissionSetLicenseAssign
PicklistValueInfo
PlatformAction
PlatformCachePartition
PlatformCachePartitionType
Pricebook2
Pricebook2History
PricebookEntry
ProcessDefinition
ProcessInstance
ProcessInstanceNode
ProcessInstanceStep
ProcessInstanceWorkitem
ProcessNode
Product2
Product2Feed
Product2History
ProductEntitlementTemplate
Profile
Publisher
PushTopic
QueueSobject
QuickText
QuickTextHistory
QuickTextShare
RecentlyViewed
RecordAction
RecordType
RelationshipDomain
RelationshipInfo
Report
ReportFeed
SPSamlAttributes
SamlSsoConfig
Scontrol
ScratchOrgInfo
ScratchOrgInfoFeed
ScratchOrgInfoHistory
ScratchOrgInfoShare
SearchLayout
SecurityCustomBaseline
ServiceContract
ServiceContractFeed
ServiceContractHistory
ServiceContractShare
ServiceProvider
SessionPermSetActivation
SetupAuditTrail
SetupEntityAccess
SignupRequest
SignupRequestFeed
SignupRequestHistory
SignupRequestShare
Site
SiteDetail
SiteFeed
SiteHistory
SlaProcess
SocialPersona
SocialPersonaHistory
SocialPost
SocialPostFeed
SocialPostHistory
SocialPostShare
Solution
SolutionFeed
SolutionHistory
SolutionStatus
SsoUserMapping
Stamp
StampAssignment
StaticResource
StreamingChannel
StreamingChannelShare
Task
TaskFeed
TaskPriority
TaskStatus
TenantUsageEntitlement
TestSuiteMembership
ThirdPartyAccountLink
TodayGoal
TodayGoalShare
Topic
TopicAssignment
TopicFeed
TopicUserEvent
UndecidedEventRelation
UserAppInfo
UserAppMenuCustomization
UserAppMenuCustomizationShare
UserAppMenuItem
UserEntityAccess
UserFeed
UserFieldAccess
UserLicense
UserListView
UserListViewCriterion
UserLogin
UserPackageLicense
UserPermissionAccess
UserPreference
UserProvAccount
UserProvAccountStaging
UserProvMockTarget
UserProvisioningConfig
UserProvisioningLog
UserProvisioningRequest
UserProvisioningRequestShare
UserRecordAccess
UserRole
UserShare
VerificationHistory
VisualforceAccessMetrics
Vote
WaveCompatibilityCheckItem
WebLink
WorkOrder
WorkOrderFeed
WorkOrderHistory
WorkOrderLineItem
WorkOrderLineItemFeed
WorkOrderLineItemHistory
WorkOrderLineItemStatus
WorkOrderShare
WorkOrderStatus
sfFma__FeatureParameterBoolean__c
sfFma__FeatureParameterDate__c
sfFma__FeatureParameterInteger__c
sfFma__FeatureParameter__c
sfLma__License__History
sfLma__License__Share
sfLma__License__c
sfLma__Package_Version__c
sfLma__Package__History
sfLma__Package__Share
sfLma__Package__c
sfcma__BillingPushNotification__Share
sfcma__BillingPushNotification__c
sfcma__CMALogSettings__Share
sfcma__CMALogSettings__c
sfcma__CMALog__Share
sfcma__CMALog__c
sfcma__ContactPartnerNotif__Share
sfcma__ContactPartnerNotif__c
sfcma__Customer__Share
sfcma__Customer__c
sfcma__EmailConfig__Share
sfcma__EmailConfig__c
sfcma__InvoiceItem__Share
sfcma__InvoiceItem__c
sfcma__Invoice__Share
sfcma__Invoice__c
sfcma__PaymentIntent__Share
sfcma__PaymentIntent__c
sfcma__SetupWizardSteps__Share
sfcma__SetupWizardSteps__c
sfcma__StripeMockResponseHeader__c
sfcma__StripeMockResponse__Share
sfcma__StripeMockResponse__c
sfcma__SubscriptionPlan__Share
sfcma__SubscriptionPlan__c
sfcma__Subscription__c
sfcma__Transaction__c
testData__Share
